,time,prcp (mm/day),meanT (deg C),Q (mm/day),newPET
0,1995-10-24,0.0,7.34,0.09813885291240661,2.1679773
13,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
12,1995-10-24,0.0,7.34,0.09813885291240661,2.340118
11,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
10,1995-10-24,0.0,7.34,0.09813885291240661,2.2077303
8,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
7,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
9,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
5,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
4,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
3,1995-10-24,0.0,7.34,0.09813885291240661,2.757196
2,1995-10-24,0.0,7.34,0.09813885291240661,2.7075477
1,1995-10-24,0.0,7.34,0.09813885291240661,2.757196
6,1995-10-24,0.0,7.34,0.09813885291240661,2.370971
22,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
27,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
26,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.46239
25,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
24,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.4117064
21,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
23,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
19,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
18,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
17,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.7123294
16,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.6913948
15,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.7123294
14,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.3391733
20,1995-10-25,0.0,8.665000000000001,0.09475475453611673,2.5010166
41,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
40,1995-10-26,3.34,8.04,0.09137065615982684,1.636858
39,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
38,1995-10-26,3.34,8.04,0.09137065615982684,1.7472675
37,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
36,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
35,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
34,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
32,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
31,1995-10-26,3.34,8.04,0.09137065615982684,1.8047804
30,1995-10-26,3.34,8.04,0.09137065615982684,1.7825257
29,1995-10-26,3.34,8.04,0.09137065615982684,1.8047804
28,1995-10-26,3.34,8.04,0.09137065615982684,1.8264438
33,1995-10-26,3.34,8.04,0.09137065615982684,1.6706221
50,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
55,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
54,1995-10-27,3.45,7.885,0.09475475453611673,1.3763489
53,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
52,1995-10-27,3.45,7.885,0.09475475453611673,1.2713135
49,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
51,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
47,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
42,1995-10-27,3.45,7.885,0.09475475453611673,0.9156558
43,1995-10-27,3.45,7.885,0.09475475453611673,1.3961478
44,1995-10-27,3.45,7.885,0.09475475453611673,1.4358243
48,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
46,1995-10-27,3.45,7.885,0.09475475453611673,1.4309733
45,1995-10-27,3.45,7.885,0.09475475453611673,1.3961478
65,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
69,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
68,1995-10-28,0.0,6.9,0.11167524641756614,1.2315156
67,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
66,1995-10-28,0.0,6.9,0.11167524641756614,0.9523994
64,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
63,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
62,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
61,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
60,1995-10-28,0.0,6.9,0.11167524641756614,1.3104191
59,1995-10-28,0.0,6.9,0.11167524641756614,2.4181116
58,1995-10-28,0.0,6.9,0.11167524641756614,2.184338
57,1995-10-28,0.0,6.9,0.11167524641756614,2.4181116
56,1995-10-28,0.0,6.9,0.11167524641756614,1.0894444
82,1995-10-29,4.08,3.47,0.09137065615982684,1.4997113
81,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
80,1995-10-29,4.08,3.47,0.09137065615982684,1.457808
79,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
78,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
77,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
83,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
76,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
74,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
73,1995-10-29,4.08,3.47,0.09137065615982684,1.5850953
72,1995-10-29,4.08,3.47,0.09137065615982684,1.6556739
71,1995-10-29,4.08,3.47,0.09137065615982684,1.5850953
70,1995-10-29,4.08,3.47,0.09137065615982684,1.2137048
75,1995-10-29,4.08,3.47,0.09137065615982684,1.5646893
97,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
96,1995-10-30,3.36,3.67,0.10490704966498639,0.70568633
95,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
94,1995-10-30,3.36,3.67,0.10490704966498639,0.95614856
93,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
92,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
91,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
90,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
88,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
87,1995-10-30,3.36,3.67,0.10490704966498639,0.65575504
86,1995-10-30,3.36,3.67,0.10490704966498639,0.67830807
85,1995-10-30,3.36,3.67,0.10490704966498639,0.65575504
84,1995-10-30,3.36,3.67,0.10490704966498639,1.1222935
89,1995-10-30,3.36,3.67,0.10490704966498639,0.6722603
106,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
111,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
110,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.2212011
109,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
107,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
105,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
108,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.29733104
103,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
98,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.49191397
99,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.22169149
100,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.21166404
104,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
101,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.22169149
102,1995-10-31,12.41,2.4099999999999997,0.1015229512886965,0.20829165
125,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
124,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.4445824
123,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
122,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.31938004
121,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
119,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
120,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
117,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
116,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
115,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.35516322
114,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.34117422
113,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.35516322
112,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.19036895
118,1995-11-01,41.66,6.2749999999999995,0.16920491881449415,0.49136102
134,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
139,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
138,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0891907
137,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
136,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.1905457
133,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
135,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
131,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
126,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.3331211
127,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.4131641
128,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.3428699
132,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
130,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.0653911
129,1995-11-02,0.6,1.2850000000000001,0.29103246036092995,1.4131641
149,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
153,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
152,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.367878
151,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
150,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3874307
148,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
147,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
146,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
145,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
144,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.3679104
143,1995-11-03,0.0,-2.6750000000000003,0.22673459121142217,1.412544
