,time,prcp (mm/day),meanT (deg C),Q (mm/day),newPET
0,1995-01-01,0.0,-9.235,0.5372069690283854,0.761878
1,1995-01-01,0.0,-9.235,0.5372069690283854,0.840286
2,1995-01-01,0.0,-9.235,0.5372069690283854,0.37992787
3,1995-01-01,0.0,-9.235,0.5372069690283854,0.840286
4,1995-01-02,0.0,-11.629999999999999,0.5230699435276385,0.6192012
5,1995-01-02,0.0,-11.629999999999999,0.5230699435276385,0.6952423
6,1995-01-02,0.0,-11.629999999999999,0.5230699435276385,0.30914068
7,1995-01-02,0.0,-11.629999999999999,0.5230699435276385,0.6952423
11,1995-01-03,0.0,-13.954999999999998,0.5089329180268914,0.6897491
10,1995-01-03,0.0,-13.954999999999998,0.5089329180268914,0.3487984
8,1995-01-03,0.0,-13.954999999999998,0.5089329180268914,0.6026187
9,1995-01-03,0.0,-13.954999999999998,0.5089329180268914,0.6897491
15,1995-01-04,0.0,-18.19,0.49479589252614453,0.4660376
12,1995-01-04,0.0,-18.19,0.49479589252614453,0.40691525
13,1995-01-04,0.0,-18.19,0.49479589252614453,0.4660376
14,1995-01-04,0.0,-18.19,0.49479589252614453,0.21622762
19,1995-01-05,0.0,-13.5,0.48065886702539745,0.94997257
18,1995-01-05,0.0,-13.5,0.48065886702539745,0.29115155
16,1995-01-05,0.0,-13.5,0.48065886702539745,0.83050835
17,1995-01-05,0.0,-13.5,0.48065886702539745,0.94997257
20,1995-01-06,2.47,-9.77,0.48065886702539745,0.48124462
21,1995-01-06,2.47,-9.77,0.48065886702539745,0.42172432
22,1995-01-06,2.47,-9.77,0.48065886702539745,0.3424667
23,1995-01-06,2.47,-9.77,0.48065886702539745,0.42172432
27,1995-01-07,0.0,-12.66,0.48065886702539745,0.36775056
24,1995-01-07,0.0,-12.66,0.48065886702539745,0.3441868
25,1995-01-07,0.0,-12.66,0.48065886702539745,0.36775056
26,1995-01-07,0.0,-12.66,0.48065886702539745,0.1923514
28,1995-01-08,0.0,-13.530000000000001,0.46652184152465054,0.41178733
29,1995-01-08,0.0,-13.530000000000001,0.46652184152465054,0.38678584
30,1995-01-08,0.0,-13.530000000000001,0.46652184152465054,0.24880596
31,1995-01-08,0.0,-13.530000000000001,0.46652184152465054,0.38678584
34,1995-01-09,0.0,-14.085,0.46652184152465054,0.16157311
35,1995-01-09,0.0,-14.085,0.46652184152465054,0.2651283
32,1995-01-09,0.0,-14.085,0.46652184152465054,0.24838409
33,1995-01-09,0.0,-14.085,0.46652184152465054,0.2651283
39,1995-01-10,0.0,-8.87,0.46652184152465054,0.28315592
38,1995-01-10,0.0,-8.87,0.46652184152465054,0.34815425
37,1995-01-10,0.0,-8.87,0.46652184152465054,0.28315592
36,1995-01-10,0.0,-8.87,0.46652184152465054,0.28042227
40,1995-01-11,0.0,-2.06,0.46652184152465054,0.33664042
41,1995-01-11,0.0,-2.06,0.46652184152465054,0.35591316
42,1995-01-11,0.0,-2.06,0.46652184152465054,0.3656476
43,1995-01-11,0.0,-2.06,0.46652184152465054,0.35591316
46,1995-01-12,0.0,0.7,0.48065886702539745,0.4111486
47,1995-01-12,0.0,0.7,0.48065886702539745,0.18529418
44,1995-01-12,0.0,0.7,0.48065886702539745,0.17923371
45,1995-01-12,0.0,0.7,0.48065886702539745,0.18529418
48,1995-01-13,0.0,1.1500000000000001,0.49479589252614453,0.2466446
49,1995-01-13,0.0,1.1500000000000001,0.49479589252614453,0.27685302
50,1995-01-13,0.0,1.1500000000000001,0.49479589252614453,0.5487076
51,1995-01-13,0.0,1.1500000000000001,0.49479589252614453,0.27685302
52,1995-01-14,2.15,0.5149999999999999,0.49479589252614453,0.16807891
53,1995-01-14,2.15,0.5149999999999999,0.49479589252614453,0.13564849
54,1995-01-14,2.15,0.5149999999999999,0.49479589252614453,0.51170075
55,1995-01-14,2.15,0.5149999999999999,0.49479589252614453,0.13564849
58,1995-01-15,0.0,-1.38,0.5089329180268914,0.4728747
59,1995-01-15,0.0,-1.38,0.5089329180268914,0.35132208
57,1995-01-15,0.0,-1.38,0.5089329180268914,0.35132208
56,1995-01-15,0.0,-1.38,0.5089329180268914,0.31808573
60,1995-01-16,0.0,-2.595,0.5089329180268914,0.3371436
61,1995-01-16,0.0,-2.595,0.5089329180268914,0.34295452
62,1995-01-16,0.0,-2.595,0.5089329180268914,0.44118202
63,1995-01-16,0.0,-2.595,0.5089329180268914,0.34295452
64,1995-01-17,0.0,-0.5149999999999999,0.5230699435276385,0.39836943
65,1995-01-17,0.0,-0.5149999999999999,0.5230699435276385,0.38063854
66,1995-01-17,0.0,-0.5149999999999999,0.5230699435276385,0.377954
67,1995-01-17,0.0,-0.5149999999999999,0.5230699435276385,0.38063854
71,1995-01-18,0.0,-2.715,0.5372069690283854,0.5421356
68,1995-01-18,0.0,-2.715,0.5372069690283854,0.54097366
69,1995-01-18,0.0,-2.715,0.5372069690283854,0.5421356
70,1995-01-18,0.0,-2.715,0.5372069690283854,0.28661928
74,1995-01-19,6.37,-3.6900000000000004,0.5372069690283854,0.21467051
75,1995-01-19,6.37,-3.6900000000000004,0.5372069690283854,0.47425023
